image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,ผ้าโซฟา สีดำ,0-CP-1500-16C,standard,,CP,pc,1,1,ผ้าโซฟา สีดำ
,ผ้าโซฟา สีครีม,0-CP-1500-1C,standard,,CP,pc,1,1,ผ้าโซฟา สีครีม
,ผ้าโซฟา สีน้ำตาล,0-CP-1500-2,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-1500-3,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีทอง,0-CP-1500-3C,standard,,CP,pc,1,1,ผ้าโซฟา สีทอง
,ผ้าโซฟา สีน้ำตาล,0-CP-1500-4C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีเทา,0-CP-1500-5C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีน้ำตาล,0-CP-1500-6C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีม่วงเข้ม,0-CP-1500-9C,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงเข้ม
,ผ้าโซฟา สีม่วง,0-CP-150-1,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีแดง,0-CP-150-10C,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีแดงเลือดหมู,0-CP-150-11C,standard,,CP,pc,1,1,ผ้าโซฟา สีแดงเลือดหมู
,ผ้าโซฟา สีน้ำตาล,0-CP-150-12C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีน้ำตาลแดง,0-CP-150-13C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาลแดง
,ผ้าโซฟา สีเทา,0-CP-150-14C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีเทา,0-CP-150-15C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีดำ,0-CP-150-16C,standard,,CP,pc,1,1,ผ้าโซฟา สีดำ
,ผ้าโซฟา สีครีม,0-CP-150-1C,standard,,CP,pc,1,1,ผ้าโซฟา สีครีม
,ผ้าโซฟา สีน้ำตาล,0-CP-150-2 ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีครีมเข้ม,0-CP-150-2C,standard,,CP,pc,1,1,ผ้าโซฟา สีครีมเข้ม
,ผ้าโซฟา สีแดง,0-CP-150-3,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีทอง,0-CP-150-3C,standard,,CP,pc,1,1,ผ้าโซฟา สีทอง
,ผ้าโซฟา สีน้ำตาล,0-CP-150-4C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีเทา,0-CP-150-5C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา,0-CP-1506-4A,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีน้ำตาล,0-CP-150-6C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีม่วง,0-CP-150-7C,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีม่วงอ่อน,0-CP-150-8C,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงอ่อน
,ผ้าโซฟา สีม่วงเข้ม,0-CP-150-9C,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วงเข้ม
,ผ้าโซฟา พื้นสีแดงลายใบไม้,0-CP-151-1,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีแดงลายใบไม้
,ผ้าโซฟา พื้นสีแดงลายใบไม้,0-CP-1511-1,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีแดงลายใบไม้
,ผ้าโซฟา พื้นสีเขียว ลายใบไม้,0-CP-1511-2,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีเขียว ลายใบไม้
,ผ้าโซฟา พื้นสีน้ำตาลลายใบไม้,0-CP-1511-3,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีน้ำตาลลายใบไม้
,ผ้าโซฟา พื้นสีเขียว ลายใบไม้,0-CP-151-2,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีเขียว ลายใบไม้
